"date","hospitalized_with_symptoms","intensive_care","total_hospitalized","home_confinement","cumulative_positive_cases","daily_positive_cases","recovered","death","cumulative_cases","total_tests","total_people_tested"
2020-02-24,101,26,127,94,221,0,1,7,229,4324,NA
2020-02-25,114,35,150,162,311,90,1,10,322,8623,NA
2020-02-26,128,36,164,221,385,74,3,12,400,9587,NA
2020-02-27,248,56,304,284,588,203,45,17,650,12014,NA
2020-02-28,345,64,409,412,821,233,46,21,888,15695,NA
2020-02-29,401,105,506,543,1049,228,50,29,1128,18661,NA
2020-03-01,639,140,779,798,1577,528,83,34,1694,21127,NA
2020-03-02,742,166,908,927,1835,258,149,52,2036,23345,NA
2020-03-03,1034,229,1263,1000,2263,428,160,79,2502,25856,NA
2020-03-04,1346,295,1641,1065,2706,443,276,107,3089,29837,NA
2020-03-05,1790,351,2141,1155,3296,590,414,148,3858,32362,NA
2020-03-06,2394,462,2856,1060,3916,620,523,197,4636,36359,NA
2020-03-07,2651,567,3218,1843,5061,1145,589,233,5883,42062,NA
2020-03-08,3557,650,4207,2180,6387,1326,622,366,7375,49937,NA
2020-03-09,4316,733,5049,2936,7985,1598,724,463,9172,53826,NA
2020-03-10,5038,877,5915,2599,8514,529,1004,631,10149,60761,NA
2020-03-11,5838,1028,6866,3724,10590,2076,1045,827,12462,73154,NA
2020-03-12,6650,1153,7803,5036,12839,2249,1258,1016,15113,86011,NA
2020-03-13,7426,1328,8754,6201,14955,2116,1439,1266,17660,97488,NA
2020-03-14,8372,1518,9890,7860,17750,2795,1966,1441,21157,109170,NA
2020-03-15,9663,1672,11335,9268,20603,2853,2335,1809,24747,124899,NA
2020-03-16,11025,1851,12876,10197,23073,2470,2749,2158,27980,137962,NA
2020-03-17,12894,2060,14954,11108,26062,2989,2941,2503,31506,148657,NA
2020-03-18,14363,2257,16620,12090,28710,2648,4025,2978,35713,165541,NA
2020-03-19,15757,2498,18255,14935,33190,4480,4440,3405,41035,182777,NA
2020-03-20,16020,2655,18675,19185,37860,4670,5129,4032,47021,206886,NA
2020-03-21,17708,2857,20565,22116,42681,4821,6072,4825,53578,233222,NA
2020-03-22,19846,3009,22855,23783,46638,3957,7024,5476,59138,258402,NA
2020-03-23,20692,3204,23896,26522,50418,3780,7432,6077,63927,275468,NA
2020-03-24,21937,3396,25333,28697,54030,3612,8326,6820,69176,296964,NA
2020-03-25,23112,3489,26601,30920,57521,3491,9362,7503,74386,324445,NA
2020-03-26,24753,3612,28365,33648,62013,4492,10361,8165,80539,361060,NA
2020-03-27,26029,3732,29761,36653,66414,4401,10950,9134,86498,394079,NA
2020-03-28,26676,3856,30532,39533,70065,3651,12384,10023,92472,429526,NA
2020-03-29,27386,3906,31292,42588,73880,3815,13030,10779,97689,454030,NA
2020-03-30,27795,3981,31776,43752,75528,1648,14620,11591,101739,477359,NA
2020-03-31,28192,4023,32215,45420,77635,2107,15729,12428,105792,506968,NA
2020-04-01,28403,4035,32438,48134,80572,2937,16847,13155,110574,541423,NA
2020-04-02,28540,4053,32593,50456,83049,2477,18278,13915,115242,581232,NA
2020-04-03,28741,4068,32809,52579,85388,2339,19758,14681,119827,619849,NA
2020-04-04,29010,3994,33004,55270,88274,2886,20996,15362,124632,657224,NA
2020-04-05,28949,3977,32926,58320,91246,2972,21815,15887,128948,691461,NA
2020-04-06,28976,3898,32874,60313,93187,1941,22837,16523,132547,721732,NA
2020-04-07,28718,3792,32510,61557,94067,880,24392,17127,135586,755445,NA
2020-04-08,28485,3693,32178,63084,95262,1195,26491,17669,139422,807125,NA
2020-04-09,28399,3605,32004,64873,96877,1615,28470,18279,143626,853369,NA
2020-04-10,28242,3497,31739,66534,98273,1396,30455,18849,147577,906864,NA
2020-04-11,28144,3381,31525,68744,100269,1996,32534,19468,152271,963473,NA
2020-04-12,27847,3343,31190,71063,102253,1984,34211,19899,156363,1010193,NA
2020-04-13,28023,3260,31283,72333,103616,1363,35435,20465,159516,1046910,NA
2020-04-14,28011,3186,31197,73094,104291,675,37130,21067,162488,1073689,NA
2020-04-15,27643,3079,30722,74696,105418,1127,38092,21645,165155,1117404,NA
2020-04-16,26893,2936,29829,76778,106607,1189,40164,22170,168941,1178403,NA
2020-04-17,25786,2812,28598,78364,106962,355,42727,22745,172434,1244108,NA
2020-04-18,25007,2733,27740,80031,107771,809,44927,23227,175925,1305833,NA
2020-04-19,25033,2635,27668,80589,108257,486,47055,23660,178972,1356541,935310
2020-04-20,24906,2573,27479,80758,108237,-20,48877,24114,181228,1398024,943151
2020-04-21,24134,2471,26605,81104,107709,-528,51600,24648,183957,1450150,971246
2020-04-22,23805,2384,26189,81510,107699,-10,54543,25085,187327,1513251,1015494
2020-04-23,22871,2267,25138,81710,106848,-851,57576,25549,189973,1579909,1052577
2020-04-24,22068,2173,24241,82286,106527,-321,60498,25969,192994,1642356,1147850
2020-04-25,21533,2102,23635,82212,105847,-680,63120,26384,195351,1707743,1186526
2020-04-26,21372,2009,23381,82722,106103,256,64928,26644,197675,1757659,1210639
2020-04-27,20353,1956,22309,83504,105813,-290,66624,26977,199414,1789662,1237317
2020-04-28,19723,1863,21586,83619,105205,-608,68941,27359,201505,1846934,1274871
2020-04-29,19210,1795,21005,83652,104657,-548,71252,27682,203591,1910761,1313460
2020-04-30,18149,1694,19843,81708,101551,-3106,75945,27967,205463,1979217,1354901
2020-05-01,17569,1578,19147,81796,100943,-608,78249,28236,207428,2053425,1398633
2020-05-02,17357,1539,18896,81808,100704,-239,79914,28710,209328,2108837,1429864
2020-05-03,17242,1501,18743,81436,100179,-525,81654,28884,210717,2153772,1456911
2020-05-04,16823,1479,18302,81678,99980,-199,82879,29079,211938,2191403,1479910
2020-05-05,16270,1427,17697,80770,98467,-1513,85231,29315,213013,2246666,1512121
2020-05-06,15769,1333,17102,74426,91528,-6939,93245,29684,214457,2310929,1549892
2020-05-07,15174,1311,16485,73139,89624,-1904,96276,29958,215858,2381288,1563557
2020-05-08,14636,1168,15804,72157,87961,-1663,99023,30201,217185,2445063,1608985
2020-05-09,13834,1034,14868,69974,84842,-3119,103031,30395,218268,2514234,1645076
2020-05-10,13618,1027,14645,68679,83324,-1518,105186,30560,219070,2565912,1676460
2020-05-11,13539,999,14538,67950,82488,-836,106587,30739,219814,2606652,1702283
2020-05-12,12865,952,13817,67449,81266,-1222,109039,30911,221216,2673655,1741903
2020-05-13,12172,893,13065,65392,78457,-2809,112541,31106,222104,2735628,1778952
2020-05-14,11453,855,12308,64132,76440,-2017,115288,31368,223096,2807504,1820083
2020-05-15,10792,808,11600,60470,72070,-4370,120205,31610,223885,2875680,1859110
2020-05-16,10400,775,11175,59012,70187,-1883,122810,31763,224760,2944859,1899767
2020-05-17,10311,762,11073,57278,68351,-1836,125176,31908,225435,3004960,1933272
2020-05-18,10207,749,10956,55597,66553,-1798,127326,32007,225886,3041366,1959373
2020-05-19,9991,716,10707,54422,65129,-1424,129401,32169,226699,3104524,1999599
2020-05-20,9624,676,10300,52452,62752,-2377,132282,32330,227364,3171719,2038216
2020-05-21,9269,640,9909,51051,60960,-1792,134560,32486,228006,3243398,2078860
2020-05-22,8957,595,9552,49770,59322,-1638,136720,32616,228658,3318778,2121847
2020-05-23,8695,572,9267,48485,57752,-1570,138840,32735,229327,3391188,2164426
2020-05-24,8613,553,9166,47428,56594,-1158,140479,32785,229858,3447012,2198632
